Agent_ID,Family_Size,Labor_Count,Income_Level,Initial_Savings_Yuan,Land_Area_Mu,Risk_Score,Risk_Profile_Prompt,Debt_Yuan
0,2,1,Mid,69840.0,3.93,0.705,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
1,3,2,Mid,48876.0,6.13,0.581,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
2,2,1,Mid-High,81612.0,3.83,0.436,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
3,7,6,Mid,233667.0,18.74,0.495,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
4,4,3,Mid-Low,33644.0,10.05,0.642,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
5,2,2,High,144374.0,4.09,0.556,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
6,4,3,Mid-Low,122613.0,9.17,0.51,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
7,2,1,Mid-High,77345.0,4.25,0.455,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
8,4,3,Mid-High,83598.0,8.11,0.608,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
9,1,1,Low,14393.0,2.59,0.633,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
10,1,1,Low,5990.0,2.5,0.483,稳健型 (Balanced): 你会在风险和收益之间进行权衡，愿意在可控范围内尝试新技术或小额借贷。,0
11,4,3,Mid,110771.0,10.67,0.66,进取型 (Aggressive): 你追求高收益，愿意承担较大风险，倾向于扩大规模或尝试高风险高回报的作物。,0
